product_id,product_name,tna,ms_rating,exp_ratio,market_cap
FKTFX,Franklin CA Tax-Free Income A,12011450089.00,4,0.58,Mid
MCLOX,BlackRock Global Allocation Inv C,11923467109.00,3,1.88,Mid
VBILX,Vanguard Interm-Term Bond Index Adm,11866794225.00,5,0.09,Mid
TRRJX,T. Rowe Price Retirement 2035,11841494833.00,5,0.74,Mid
FFFDX,Fidelity Freedom 2020,11719607844.00,3,0.67,Mid
PRHSX,T. Rowe Price Health Sciences,11696140531.00,5,0.76,Mid
VAIPX,Vanguard Inflation-Protected Secs Adm,11545381104.00,4,0.10,Mid
FESGX,First Eagle Global C,11536269806.00,4,1.86,Mid
VASGX,Vanguard LifeStrategy Growth Inv,11508446812.00,4,0.15,Mid
MADVX,BlackRock Equity Dividend Instl,11489665641.00,4,0.70,Mid
FRDPX,Franklin Rising Dividends A,11456336118.00,3,0.92,Mid
VWNEX,Vanguard Windsor Admiral,11446899070.00,3,0.29,Mid
VVIAX,Vanguard Value Index Adm,11446395254.00,4,0.08,Mid
FDIVX,Fidelity Diversified International,11198258600.00,3,1.00,Mid
VMCPX,Vanguard Mid Cap Index InstlPlus,11183856203.00,5,0.05,Mid
VGHCX,Vanguard Health Care Inv,11054806931.00,4,0.36,Mid
LALDX,Lord Abbett Short Duration Income A,11019072540.00,4,0.60,Mid
NEWFX,American Funds New World A,10915114968.00,5,1.04,Mid
VSCIX,Vanguard Small Cap Index I,10901529457.00,4,0.07,Mid
TEDIX,Franklin Mutual Global Discovery A,10614350699.00,4,1.24,Mid
TRMCX,T. Rowe Price Mid-Cap Value,10555750794.00,5,0.80,Mid
TEPLX,Templeton Growth A,10544639206.00,1,1.05,Mid
VTINX,Vanguard Target Retirement Income Inv,10527205716.00,5,0.14,Mid
VHCAX,Vanguard Capital Opportunity Adm,10455918665.00,4,0.38,Mid
FLMVX,JPMorgan Mid Cap Value Instl,10309928701.00,5,0.75,Mid
LSBDX,Loomis Sayles Bond Instl,10237349553.00,3,0.64,Mid
FFFEX,Fidelity Freedom 2030,10217763430.00,3,0.75,Mid
FAGIX,Fidelity Capital & Income,10105363953.00,5,0.75,Mid
REREX,American Funds Europacific Growth R4,9960669507.00,3,0.85,Mid
FBIOX,Fidelity Select Biotechnology Portfolio,9833324678.00,3,0.73,Mid
PONDX,PIMCO Income D,9796297965.00,5,0.79,Mid
ACEIX,Invesco Equity and Income A,9751431481.00,3,0.80,Mid
VFSTX,Vanguard Short-Term Investment-Grade Inv,9648694128.00,4,0.20,Mid
ANEFX,American Funds New Economy A,9607742260.00,2,0.78,Mid
GSZIX,Goldman Sachs Strategic Income Instl,9477737108.00,3,0.57,Mid
VIGIX,Vanguard Growth Index I,9415844658.00,4,0.07,Mid
LZEMX,Lazard Emerging Markets Equity Instl,9244234524.00,3,1.10,Mid
FOCPX,Fidelity OTC Portfolio,9087947892.00,5,0.83,Mid
PRBLX,Parnassus Core Equity Investor,8958080459.00,5,0.87,Mid
VIEIX,Vanguard Extended Market Idx I,8926035926.00,3,0.07,Mid
VFIFX,Vanguard Target Retirement 2050 Inv,8922101835.00,4,0.16,Mid
TBGVX,"Tweedy, Browne Global Value",8872281960.00,5,1.37,Mid
YACKX,AMG Yacktman Service,8811791120.00,4,0.74,Mid
VASVX,Vanguard Selected Value Inv,8774461926.00,4,0.39,Mid
VTMGX,Vanguard Developed Markets Idx Admiral,8732084865.00,4,0.09,Mid
RERFX,American Funds Europacific Growth R5,8587193379.00,4,0.54,Mid
VFIIX,Vanguard GNMA Inv,8544282760.00,4,0.21,Mid
FKTIX,Franklin Federal Tax-Free Income A,8425809100.00,3,0.62,Mid
ARTIX,Artisan International Investor,8402153791.00,3,1.17,Mid
TRRGX,T. Rowe Price Retirement 2015,8366085374.00,4,0.62,Mid
OTCFX,T. Rowe Price Small-Cap Stock,8348327745.00,4,0.90,Mid
FSITX,Fidelity Spartan US Bond Idx Advtg,8322834248.00,3,0.05,Mid
VEMAX,Vanguard Emerging Mkts Stock Idx Adm,8282217063.00,3,0.15,Mid
FSIVX,Fidelity Spartan Intl Idx Advtg,8204230212.00,3,0.08,Mid
VGSNX,Vanguard REIT Index I,7964365439.00,4,0.10,Mid
VAFAX,Invesco American Franchise A,7925708469.00,2,1.05,Mid
VSCGX,Vanguard LifeStrategy Cnsrv Gr Inv,7917595862.00,4,0.13,Mid
VPCCX,Vanguard PRIMECAP Core Inv,7883580590.00,4,0.47,Mid
VIVIX,Vanguard Value Index I,7674250129.00,4,0.07,Mid
TWCUX,American Century Ultra Inv,7649803826.00,4,0.98,Mid
FKGRX,Franklin Growth A,7637729854.00,3,0.88,Mid
VTRIX,Vanguard International Value Inv,7631273481.00,3,0.46,Mid
DFFVX,DFA US Targeted Value I,7613006929.00,3,0.37,Mid
PONAX,PIMCO Income A,7608090475.00,5,0.85,Mid
FSICX,Fidelity Strategic Income,7449294466.00,4,0.71,Mid
PTTAX,PIMCO Total Return A,7424935028.00,3,0.85,Mid
FSPHX,Fidelity Select Health Care Portfolio,7422917830.00,4,0.73,Mid
VSIAX,Vanguard Small Cap Value Index Admiral,7416818605.00,5,0.08,Mid
MDISX,Franklin Mutual Global Discovery Z,7351668026.00,4,0.99,Mid
VEXRX,Vanguard Explorer Adm,7309709743.00,3,0.35,Mid
PRHYX,T. Rowe Price High-Yield,7187573303.00,4,0.74,Mid
BALCX,American Funds American Balanced C,7183238843.00,5,1.38,Mid
FDVLX,Fidelity Value,7056540268.00,3,0.84,Mid
PONCX,PIMCO Income C,6964472520.00,5,1.60,Mid
TRRKX,T. Rowe Price Retirement 2045,6915730244.00,4,0.75,Mid
MUTHX,Franklin Mutual Shares Z,6888073583.00,4,0.81,Mid
LDLAX,Lord Abbett Short Duration Income C,6851481603.00,4,1.25,Mid
VGELX,Vanguard Energy Adm,6747307030.00,4,0.31,Mid
PRSVX,T. Rowe Price Small-Cap Value,6724662160.00,4,0.92,Mid
VBMFX,Vanguard Total Bond Market Index Inv,6631071243.00,3,0.16,Mid
ODMAX,Oppenheimer Developing Markets A,6618464318.00,4,1.30,Mid
FIGRX,Fidelity International Discovery,6491385843.00,3,0.99,Mid
SNXFX,Schwab 1000 Index,6458666555.00,4,0.29,Mid
NYVTX,Davis NY Venture A,6458047153.00,2,0.86,Mid
VWIGX,Vanguard International Growth Inv,6443729828.00,3,0.47,Mid
FFFFX,Fidelity Freedom 2040,6441251236.00,3,0.77,Mid
ACSTX,Invesco Comstock A,6375517741.00,2,0.83,Mid
FGMNX,Fidelity GNMA,6318208993.00,4,0.45,Mid
POAGX,PRIMECAP Odyssey Aggressive Growth,6317658427.00,5,0.62,Mid
TWEIX,American Century Equity Income Inv,6279043252.00,5,0.93,Mid
RPSIX,T. Rowe Price Spectrum Income,6267013032.00,4,0.69,Mid
CIBCX,American Funds Capital Inc Bldr C,6246303456.00,4,1.38,Mid
POGRX,PRIMECAP Odyssey Growth,6192767190.00,4,0.64,Mid
IFACX,American Funds Inc Fund of Amer C,6111182837.00,4,1.35,Mid
VSGAX,Vanguard Small Cap Growth Index Admiral,6055637920.00,4,0.08,Mid
CSRSX,Cohen & Steers Realty Shares,5960778198.00,4,0.96,Mid
TRREX,T. Rowe Price Real Estate,5945681681.00,4,0.76,Mid
MDDVX,BlackRock Equity Dividend Inv A,5931655307.00,4,0.97,Mid
PRRIX,PIMCO Real Return Instl,5779837834.00,5,0.45,Mid
VTENX,Vanguard Target Retirement 2010 Inv,5748117720.00,5,0.14,Mid
FDGFX,Fidelity Dividend Growth,5747986597.00,2,0.69,Mid
VSEQX,Vanguard Strategic Equity Inv,5717654076.00,4,0.21,Mid
FFRHX,Fidelity Floating Rate High Income,5710219358.00,4,0.70,Mid
JANDX,Janus D,5701160539.00,3,0.77,Mid
TIBCX,Thornburg Investment Income Builder C,5559689246.00,3,2.06,Mid
PTRAX,PIMCO Total Return Admin,5469097811.00,4,0.71,Mid
VEIPX,Vanguard Equity-Income Inv,5445297543.00,5,0.26,Mid
LAFFX,Lord Abbett Affiliated A,5416649327.00,2,0.74,Mid
VHDYX,Vanguard High Dividend Yield Index Inv,5406513800.00,5,0.16,Mid
POSKX,PRIMECAP Odyssey Stock,5400178164.00,4,0.65,Mid
MSIGX,Oppenheimer Main Street A,5378303414.00,3,0.94,Mid
FGRIX,Fidelity Growth & Income Portfolio,5326551260.00,2,0.67,Mid
PMEGX,T. Rowe Price Instl Mid-Cap Equity Gr,5294263061.00,5,0.61,Mid
FSCRX,Fidelity Small Cap Discovery,5223891925.00,5,1.01,Mid
FRESX,Fidelity Real Estate Investment Port,5212853639.00,4,0.78,Mid
PTTDX,PIMCO Total Return D,5198345638.00,4,0.75,Mid
FMCSX,Fidelity Mid-Cap Stock,5160039708.00,4,0.73,Mid
TWCGX,American Century Growth Inv,5156163073.00,4,0.97,Mid
PCRIX,PIMCO Commodity Real Ret Strat Instl,5046315191.00,3,0.74,Mid
FDCAX,Fidelity Capital Appreciation,4999308754.00,3,0.83,Mid
JNBCX,JPMorgan Income Builder C,4987727111.00,3,1.25,Small
GFACX,American Funds Growth Fund of Amer C,4941328969.00,3,1.45,Small
FUSEX,Fidelity Spartan 500 Index Inv,4920010324.00,4,0.09,Small
SHRAX,ClearBridge Aggressive Growth A,4879576368.00,2,1.13,Small
VWNDX,Vanguard Windsor Inv,4878372137.00,3,0.39,Small
TRRMX,T. Rowe Price Retirement 2050,4862258663.00,4,0.75,Small
TEGBX,Templeton Global Bond C,4856554945.00,4,1.29,Small
ITHAX,Hartford Capital Appreciation A,4848914857.00,1,1.09,Small
OAKLX,Oakmark Select I,4818271871.00,2,0.95,Small
OSTIX,Osterweis Strategic Income,4802583796.00,3,0.83,Small
JABAX,Janus Balanced T,4790829017.00,5,0.83,Small
PRDGX,T. Rowe Price Dividend Growth,4787659564.00,5,0.64,Small
PREMX,T. Rowe Price Emerging Markets Bond,4767937369.00,4,0.93,Small
SEQUX,Sequoia,4756261356.00,2,1.03,Small
LSBRX,Loomis Sayles Bond Retail,4752216631.00,3,0.89,Small
NHMAX,Nuveen High Yield Municipal Bond A,4731309763.00,4,0.77,Small
RERCX,American Funds Europacific Growth R3,4730328287.00,3,1.14,Small
SWTSX,Schwab Total Stock Market Index,4720215049.00,4,0.09,Small
FASIX,Fidelity Asset Manager 20%,4714427402.00,4,0.53,Small
VIPSX,Vanguard Inflation-Protected Secs Inv,4670353639.00,4,0.20,Small
RMUNX,Oppenheimer Rochester Fund Municipals A,4662188362.00,4,0.73,Small
VWITX,Vanguard Interm-Term Tx-Ex Inv,4660755921.00,4,0.20,Small
USATX,USAA Tax Exempt Intermediate-Term,4590102821.00,5,0.55,Small
SPHIX,Fidelity High Income,4563179334.00,3,0.73,Small
FNMIX,Fidelity New Markets Income,4527781050.00,4,0.86,Small
PGRWX,Putnam Fund for Growth & Income A,4464713207.00,2,0.94,Small
FRSTX,Franklin Strategic Income A,4448516149.00,2,0.86,Small
FFNOX,Fidelity Four-in-One Index,4327243032.00,4,0.11,Small
VHGEX,Vanguard Global Equity Inv,4283762266.00,4,0.57,Small
STFGX,State Farm Growth,4275810636.00,4,0.12,Small
MPGFX,Mairs & Power Growth Inv,4251369548.00,5,0.65,Small
TEMWX,Templeton World A,4243239719.00,2,1.06,Small
VWESX,Vanguard Long-Term Investment-Grade Inv,4234514009.00,5,0.21,Small
PRFHX,T. Rowe Price Tax-Free High Yield,4186451716.00,4,0.69,Small
VMGRX,Vanguard Mid Cap Growth Inv,4159815508.00,4,0.43,Small
NAESX,Vanguard Small Cap Index Inv,4092776504.00,4,0.20,Small
BAICX,BlackRock Multi-Asset Income Investor A,4087517145.00,4,0.84,Small
FKUTX,Franklin Utilities A,4065463321.00,4,0.73,Small
VIMSX,Vanguard Mid Cap Index Inv,4029154000.00,4,0.20,Small
ACRNX,Columbia Acorn Z,4024835345.00,3,0.82,Small
TWHIX,American Century Heritage Inv,4006894678.00,4,1.00,Small
JNBAX,JPMorgan Income Builder A,4005367821.00,3,0.75,Small
VMRGX,Vanguard Morgan Growth Inv,3995785727.00,3,0.40,Small
PTTCX,PIMCO Total Return C,3934520273.00,3,1.60,Small
FARCX,Nuveen Real Estate Securities I,3933588698.00,5,1.05,Small
VWEHX,Vanguard High-Yield Corporate Inv,3854196400.00,4,0.23,Small
VWUSX,Vanguard US Growth Inv,3823872572.00,4,0.47,Small
YAFFX,AMG Yacktman Focused Service,3778337196.00,4,1.25,Small
VTMSX,Vanguard Tax-Managed Small Cap Adm,3749021189.00,5,0.11,Small
VASIX,Vanguard LifeStrategy Income Inv,3652341726.00,5,0.12,Small
SHAPX,ClearBridge Appreciation A,3627936546.00,3,0.98,Small
PRMTX,T. Rowe Price Media & Telecommunications,3619089521.00,5,0.79,Small
MQIFX,Franklin Mutual Quest Z,3440815154.00,4,0.82,Small
VEXPX,Vanguard Explorer Inv,3437478417.00,3,0.49,Small
PRSGX,T. Rowe Price Spectrum Growth,3408056367.00,2,0.79,Small
PRWAX,T. Rowe Price New America Growth,3368699545.00,4,0.79,Small
MAMAX,MFS Moderate Allocation A,3349366691.00,3,1.00,Small
VGENX,Vanguard Energy Inv,3336394351.00,4,0.37,Small
FSCSX,Fidelity Select Software & Comp Port,3334350332.00,5,0.77,Small
USAIX,USAA Income,3330118890.00,4,0.53,Small
PRIDX,T. Rowe Price International Discovery,3288884607.00,4,1.20,Small
FDFFX,Fidelity Independence,3283637103.00,1,0.86,Small
ORNAX,Oppenheimer Rochester High Yld Muni A,3249710070.00,3,0.74,Small
ARTMX,Artisan Mid Cap Investor,3247088306.00,4,1.19,Small
KAUFX,Federated Kaufmann R,3238678589.00,3,1.99,Small
PNOPX,Putnam Multi-Cap Growth A,3222681753.00,2,1.04,Small
VBINX,Vanguard Balanced Index Inv,3220389501.00,5,0.22,Small
NICSX,Nicholas,3218628643.00,5,0.72,Small
WASCX,Ivy Asset Strategy C,3217234922.00,2,1.68,Small
AKREX,Akre Focus Retail,3205337926.00,5,1.34,Small
FSDIX,Fidelity Strategic Dividend & Income,3156646404.00,5,0.78,Small
PRSCX,T. Rowe Price Science & Tech,3091516550.00,4,0.84,Small
ANAYX,AllianceBern Global Bond Advisor,3021966256.00,4,0.60,Small
VFFVX,Vanguard Target Retirement 2055 Inv,3017879475.00,4,0.16,Small
PRUAX,Prudential Jennison Utility A,2995780347.00,2,0.84,Small
FSPTX,Fidelity Select Technology Portfolio,2976978702.00,3,0.78,Small
FFFGX,Fidelity Freedom 2045,2971986977.00,3,0.77,Small
PRPFX,Permanent Portfolio,2958469462.00,3,0.80,Small
FMILX,Fidelity New Millennium,2925911980.00,3,0.74,Small
VIGRX,Vanguard Growth Index Inv,2922910467.00,4,0.22,Small
MAGWX,MFS Growth Allocation A,2916200706.00,3,1.06,Small
VGSIX,Vanguard REIT Index Inv,2903033172.00,3,0.26,Small
GLRBX,James Balanced: Golden Rainbow R,2900961886.00,5,0.97,Small
FAIRX,Fairholme,2888806992.00,1,1.04,Small
VFICX,Vanguard Interm-Term Invmt-Grade Inv,2881805163.00,3,0.20,Small
JAVLX,Janus Twenty T,2871607746.00,3,0.82,Small
VTMFX,Vanguard Tax-Managed Balanced Adm,2862382641.00,5,0.11,Small
USSPX,USAA S&P; 500 Index Member,2861498197.00,4,0.26,Small
VINEX,Vanguard International Explorer Inv,2818837416.00,3,0.42,Small
FLVCX,Fidelity Leveraged Company Stock,2799990687.00,2,0.79,Small
VQNPX,Vanguard Growth & Income Inv,2789515758.00,4,0.34,Small
PRGTX,T. Rowe Price Global Technology,2776571876.00,5,0.91,Small
SHSAX,BlackRock Health Sciences Opps Inv A,2749585177.00,4,1.16,Small
FHAIX,Franklin High Income A,2745124137.00,2,0.76,Small
ARTQX,Artisan Mid Cap Value Investor,2735454069.00,3,1.19,Small
PRNEX,T. Rowe Price New Era,2733500471.00,4,0.67,Small
SOPAX,ClearBridge Equity Income A,2715896472.00,3,1.15,Small
MMUFX,MFS Utilities A,2710156877.00,2,1.00,Small
VGPMX,Vanguard Precious Metals and Mining Inv,2693462601.00,3,0.35,Small
FRIFX,Fidelity Real Estate Income,2693345892.00,4,0.83,Small
PVOYX,Putnam Voyager A,2688485122.00,1,1.05,Small
MAPTX,Matthews Pacific Tiger Investor,2638907516.00,4,1.07,Small
PRASX,T. Rowe Price New Asia,2522964801.00,3,0.94,Small
ONGIX,JPMorgan Investor Growth & Income A,2484615255.00,3,1.22,Small
JATTX,Janus Triton T,2483973517.00,5,0.92,Small
FSENX,Fidelity Select Energy Portfolio,2481054148.00,4,0.80,Small
FLCSX,Fidelity Large Cap Stock,2473662745.00,3,0.78,Small
FSMEX,Fidelity Select Medical Equip & Systems,2431665220.00,4,0.76,Small
FFFHX,Fidelity Freedom 2050,2417369777.00,3,0.77,Small
FSMVX,Fidelity Mid Cap Value,2413408333.00,4,0.86,Small
GWPAX,American Funds Growth Portfolio A,2374617311.00,1,0.75,Small
TRRIX,T. Rowe Price Retirement Income,2358952981.00,4,0.56,Small
FNCMX,Fidelity Nasdaq Composite Index,2336050720.00,5,0.29,Small
WASAX,Ivy Asset Strategy A,2280670109.00,2,0.96,Small
FDFAX,Fidelity Select Consumer Staples Port,2229226428.00,3,0.77,Small
VHCOX,Vanguard Capital Opportunity Inv,2079259187.00,4,0.45,Small
FSRPX,Fidelity Select Retailing Portfolio,2014845087.00,5,0.81,Small
TRRNX,T. Rowe Price Retirement 2055,1998811961.00,4,0.75,Small
VISVX,Vanguard Small Cap Value Index Inv,1948187851.00,5,0.20,Small
THOPX,Thompson Bond,1947879903.00,5,0.71,Small
FBSOX,Fidelity Select IT Services Portfolio,1946225610.00,4,0.81,Small
VEXMX,Vanguard Extended Market Idx Inv,1935303939.00,3,0.22,Small
VWAHX,Vanguard High-Yield Tax-Exempt,1923852808.00,5,0.20,Small
ONGAX,JPMorgan Investor Growth A,1891670855.00,4,1.18,Small
PIREX,Principal Real Estate Securities Inst,1851273139.00,5,0.89,Small
VISGX,Vanguard Small Cap Growth Index Inv,1824023840.00,4,0.20,Small
SGROX,Wells Fargo Advantage Growth Inv,1795164256.00,4,1.24,Small
USIBX,USAA Intermediate-Term Bond,1771130987.00,5,0.68,Small
SPECX,Alger Spectra A,1730942005.00,4,1.19,Small
TAREX,Third Avenue Real Estate Value Instl,1723776255.00,4,1.10,Small
VCAIX,Vanguard CA Interm-Term Tax-Exempt Inv,1697610274.00,4,0.20,Small
BERIX,Berwyn Income,1691115585.00,5,0.67,Small
FSAGX,Fidelity Select Gold Portfolio,1689158274.00,3,0.94,Small
SMMIX,Invesco Summit P,1664618958.00,3,0.89,Small
PENNX,Royce Pennsylvania Mutual Invmt,1644907819.00,3,0.93,Small
VPGDX,Vanguard Managed Payout Investor,1636243921.00,3,0.38,Small
MLPDX,Oppenheimer SteelPath MLP Income A,1568567947.00,2,1.38,Small
TGLDX,Tocqueville Gold,1555066228.00,4,1.44,Small
GASFX,Hennessy Gas Utility Index Investor,1543620873.00,4,1.02,Small
FPHAX,Fidelity Select Pharmaceuticals Port,1539489572.00,4,0.78,Small
